"","FB_ID","Ind","Class","Gender","YOB","NuT","Math","German","Physics","Biology","Chemistry","Group","PO1_indoor","PO2_indoor","PO3_indoor","PO4_indoor","PO5_indoor","PO1_outdoor","PO2_outdoor","PO3_outdoor","PO4_outdoor","PO5_outdoor","RS01_outdoor","RS02_outdoor","RS03_outdoor","RS04_outdoor","RS01_indoor","RS02_indoor","RS03_indoor","RS04_indoor","RT01_outdoor","RT02_outdoor","RT03_outdoor","RT04_outdoor","RT01_indoor","RT02_indoor","RT03_indoor","RT04_indoor","AR01_outdoor","AR02_outdoor","AR03_outdoor","AR01_indoor","AR02_indoor","AR03_indoor","AW01_outdoor","AW02_outdoor","AW03_outdoor","AW04_outdoor","AW01_indoor","AW02_indoor","AW03_indoor","AW04_indoor","KHU01_outdoor","KHU02_outdoor","KHU03_outdoor","KHU04_outdoor","KHU01_indoor","KHU02_indoor","KHU03_indoor","KHU04_indoor","KS01_outdoor","KS02_outdoor","KS03_outdoor","KS04_outdoor","KS01_indoor","KS02_indoor","KS03_indoor","KS04_indoor","R01_outdoor","R02_outdoor","R03_outdoor","R04_outdoor","R05_outdoor","R01_indoor","R02_indoor","R03_indoor","R04_indoor","R05_indoor","AB01_outdoor","AB02_outdoor","AB03_outdoor","AB04_outdoor","AB01_indoor","AB02_indoor","AB03_indoor","AB04_indoor","S01_outdoor","S02_outdoor","S03_outdoor","S04_outdoor","S05_outdoor","S01_indoor","S02_indoor","S03_indoor","S04_indoor","W01_outdoor","W02_outdoor","W03_outdoor","W04_outdoor","E01_outdoor","E02_outdoor","E03_outdoor","E04_outdoor","InR1_outdoor","IjR1_outdoor","InR2_outdoor","ExR1_outdoor","IjR2_outdoor","IdR1_outdoor","InR3_outdoor","IjR3_outdoor","IdR2_outdoor","ExR2_outdoor","InR4_outdoor","InR1_indoor","IjR1_indoor","InR2_indoor","ExR1_indoor","IjR2_indoor","IdR1_indoor","InR3_indoor","IjR3_indoor","IdR2_indoor","ExR2_indoor","InR4_indoor","InR_outdoor","IdR_outdoor","IjR_outdoor","ExR_outdoor","InR_indoor","IdR_indoor","IjR_indoor","ExR_indoor","SDI_outdoor","SDI_indoor","PO_outdoor","PO_indoor","RS_outdoor","RS_indoor","RT_outdoor","RT_indoor","R_outdoor","R_indoor","A_outdoor","A_indoor","C_outdoor","C_indoor","BPN_outdoor","BPN_indoor","diff_SDI","diff_A","diff_C","diff_RT","diff_RS"
"175","FoWo15SK10",175,7,1,2000,,2,2,2,3,2,3,5,3,3,4,4,4,4,3,3,3,4,5,5,5,3,4,4,3,4,4,4,4,4,4,5,4,4,3,4,4,5,5,4,3,4,4,5,3,2,2,4,4,3,3,3,4,3,4,3,3,3,4,2,2,2,3,4,3,4,4,4,4,4,4,3,3,4,4,4,5,3,4,4,3,4,5,5,4,3,3,2,3,2,4,5,5,5,5,5,5,5,5,2,5,1,1,4,4,2,4,1,5,5,3,4,2,2,4,3,2,4,3,4,4.75,4,1.6666666667,1,4,4,2.3333333333,2.5,9.8333333333,4.6666666667,3.4,3.8,4.75,3.5,4,4.25,4.375,3.875,3.9090909091,3.3636363636,3.375,2.875,3.8863636364,3.3712121212,5.1666666667,0.5454545455,0.5,-0.25,1.25
"176","FoWo15SK11",176,7,1,2000,,2,4,4,2,2,3,5,3,2,3,3,4,3,4,4,3,4,4,5,5,4,4,5,5,5,5,5,5,4,3,3,4,4,4,5,4,4,5,4,5,4,5,4,4,4,5,5,5,4,4,3,4,3,4,5,4,4,5,5,4,5,4,4,3,4,3,4,4,4,4,4,5,3,2,3,4,3,3,4,5,4,5,4,3,3,1,4,3,3,3,4,4,4,5,4,5,3,4,2,4,2,2,3,3,2,3,3,3,4,2,4,2,2,5,2,1,4,2,4,3.5,3,2,2.5,3.5,4.5,1.6666666667,2,3,5.8333333333,3.6,3.2,4.5,4.5,5,3.5,4.75,4,3.9090909091,3.8181818182,4.5,4,4.3863636364,3.9393939394,-2.8333333333,0.0909090909,0.5,1.5,0
"177","FoWo15SK12",177,7,2,2000,,2,4,2,3,2,3,3,2,2,2,2,4,3,3,4,3,5,4,4,4,5,5,5,5,4,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,3,2,4,4,5,4,2,3,3,3,4,3,3,3,3,4,4,4,4,2,3,5,4,4,3,3,4,3,3,2,3,3,4,3,4,2,3,4,4,3,3,3,1,4,3,2,3,4,4,5,5,5,5,4,5,1,5,1,1,3,5,1,3,4,4,4,3,4,1,2,4,4,1,4,3,4,4.75,3,1,2.5,4,4,2,2,6.5,6,3.4,2.2,4.25,5,4.75,4.5,4.5,4.75,3.6363636364,3.1818181818,3.375,3.625,3.8371212121,3.8522727273,0.5,0.4545454545,-0.25,0.25,-0.75
"178","FoWo15SK13",178,7,2,2001,,2,3,3,2,3,3,5,5,4,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,,4,4,5,,4,,4,,5,5,4,5,5,5,5,4,5,5,4,3,4,5,4,5,,4,,3,4,,5,5,5,4,5,5,4,,5,5,4,5,5,,,5,5,,,4,5,4,3,,4,5,5,5,4,,4,,2,3,5,5,5,5,,4,5,3,5,2,5,1,1,4,5,1,5,5,5,4,5,4,3,1,5,4,1,5,5,4,5,4.5,1.3333333333,3,4,5,2.3333333333,4,7.1666666667,2.6666666667,4.4,4.2,5,5,3.25,2,4.125,3.5,3.4545454545,3.3636363636,3.625,3.625,3.7348484848,3.4962121212,4.5,0.0909090909,0,1.25,0
"179","FoWo15SK14",179,7,2,2000,,3,3,2,2,3,3,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,4,4,4,5,5,4,4,5,4,5,4,5,5,4,4,4,5,4,5,4,5,4,5,5,5,5,5,1,4,3,4,5,3,3,5,5,5,5,5,5,5,3,5,1,5,1,1,4,5,1,5,1,5,5,1,4,1,1,5,4,1,4,1,4,5,4.5,1,1,4.25,4.5,1,1,11.5,10,5,3.8,5,5,5,4,5,4.5,4.8181818182,4.1818181818,4.625,4.5,4.8143939394,4.3939393939,1.5,0.6363636364,0.125,1,0
"180","FoWo15SK15",180,7,2,2001,,2,2,1,1,1,4,3,3,2,3,4,2,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,3,3,5,4,5,4,3,3,5,5,5,5,5,5,2,4,5,5,3,4,3,5,2,2,4,4,5,5,5,3,4,3,3,4,5,3,5,2,3,4,3,2,5,5,5,4,4,2,2,3,5,5,3,4,5,4,2,1,2,4,5,3,5,5,5,5,3,5,3,5,2,1,1,5,2,4,2,2,3,1,2,2,1,3,2,1,3,4,5,4.25,2.5,2,2,3,3,1,3,5,2,4,3,5,5,4,3.5,4.5,4.25,4.8181818182,3,4.375,3.375,4.5643939394,3.5416666667,3,1.8181818182,1,0.5,0
"181","FoWo15SK16",181,7,1,2000,,2,2,2,2,,4,3,2,2,2,1,4,2,5,4,5,4,4,5,5,5,5,5,5,5,4,4,4,3,5,4,3,4,5,5,3,3,2,4,5,3,4,3,2,2,4,5,4,5,4,2,3,2,2,4,5,4,5,3,4,4,2,5,5,5,5,4,2,3,1,3,3,4,4,4,3,2,2,3,3,4,5,4,4,4,4,3,2,2,4,5,2,4,3,5,5,4,4,3,5,2,1,3,5,4,4,2,5,3,4,4,3,1,3,2,2,3,4,2,4.75,3.5,2.6666666667,2,2.75,3,2.3333333333,3.5,6.3333333333,-0.8333333333,4,2,4.5,5,4.25,3.75,4.375,4.375,4.0909090909,2.4545454545,4.5,2.75,4.321969697,3.1931818182,7.1666666667,1.6363636364,1.75,0.5,-0.5
"182","FoWo15SK17",182,7,1,2001,,4,3,2,3,,3,3,3,2,2,2,5,4,5,5,4,5,5,5,5,4,4,4,4,5,5,5,5,3,4,3,3,5,5,5,3,3,3,5,5,5,5,4,4,4,3,5,5,5,5,4,5,4,4,4,5,5,5,3,4,5,4,4,5,4,4,4,3,4,2,3,4,4,4,5,5,3,4,4,3,4,2,5,3,3,4,4,4,3,2,5,4,5,5,5,4,3,5,2,5,2,2,2,3,2,4,2,4,5,3,4,2,2,3,4,2,3,2,3,4.25,3,2,2,4,3,2.3333333333,2,5.5,4.6666666667,4.6,2.4,5,4,5,3.25,5,3.625,4.8181818182,3.1818181818,4.875,4.125,4.8977272727,3.6439393939,0.8333333333,1.6363636364,0.75,1.75,1
"183","FoWo15SK18",183,7,1,2000,,3,4,3,3,3,3,5,4,4,4,3,5,4,5,5,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,4,4,4,5,4,3,3,5,5,4,5,5,3,2,4,5,5,5,5,4,3,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,4,4,4,5,4,5,1,4,3,3,4,5,3,4,5,5,5,4,5,2,5,1,1,5,5,3,5,1,5,5,4,5,3,3,5,5,3,5,2,5,5,5,2,1,5,5,3.3333333333,2.5,11,6.6666666667,4.6,4,5,4.25,5,4.75,5,4.5,4.6363636364,3.4545454545,4.75,4,4.7954545455,3.9848484848,4.3333333333,1.1818181818,0.75,0.25,0.75
"184","FoWo15SK19",184,7,1,2001,,3,3,3,4,1,3,5,3,4,5,1,5,4,5,5,4,5,5,4,3,3,4,2,3,5,5,5,5,3,3,3,4,5,5,5,4,4,2,4,5,3,5,2,4,1,3,5,5,5,5,3,3,2,4,4,5,4,4,3,4,4,3,4,3,5,4,5,1,3,2,2,3,5,5,5,5,2,1,1,4,5,4,5,5,5,1,3,2,3,3,5,4,4,5,5,5,4,5,2,5,1,1,2,4,1,4,5,5,3,2,4,1,1,5,3,1,4,3,5,4.75,3,1.3333333333,3,3.75,4.5,1.3333333333,2,5.1666666667,6.6666666667,4.6,3.6,4.25,3,5,3.25,4.625,3.125,4.7272727273,2.3636363636,4.625,3.25,4.6590909091,2.9128787879,-1.5,2.3636363636,1.375,1.75,1.25
